ds,split,y,y_revenue,y_quantity,y_profit,y_transactions,year,month,day,day_of_week,week_of_year,quarter,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dow_sin,dow_cos,season,season_enc,lag_1,lag_7,lag_14,lag_30,lag_qty_1,lag_qty_7,roll_mean_7,roll_std_7,roll_min_7,roll_max_7,roll_mean_14,roll_std_14,roll_min_14,roll_max_14,roll_mean_30,roll_std_30,roll_min_30,roll_max_30,promo_share,festival_share,holiday_share,avg_discount,avg_stock,stockout_share,n_stores,n_products,is_promo_day,is_festival_day,is_holiday_day,high_discount_day,high_stockout_day,weekend_x_promo,festival_x_promo
2021-01-31,train,9310912.43,9310912.43,1509,1993427.54,272,2021,1,31,6,4,1,1,0,1,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,Winter,0,12122649.11,9204756.02,14388028.82,8313633.57,1531.0,1412.0,9666263.975714285,3656200.1281538624,6644627.49,16808163.46,9169903.809285715,3346085.518403835,5796841.72,16808163.46,8619262.863666667,2742577.661184782,5796841.72,16808163.46,0.47794117647058826,0.0,0.0,0.13125,100.37132352941177,0.01838235294117647,10,148,1,0,0,0,0,1,0
2021-02-01,train,7859465.6,7859465.6,909,1770156.16,273,2021,2,1,0,5,1,0,1,0,0.8660254037844386,0.5000000000000001,0.0,1.0,Winter,0,9310912.43,6644627.49,7103263.55,12268574.07,1509.0,1010.0,9681429.177142859,3654186.4463285417,6644627.49,16808163.46,8807252.638571428,2993603.1859632586,5796841.72,16808163.46,8652505.492333334,2744788.4931259733,5796841.72,16808163.46,0.5164835164835165,0.0,0.0,0.14395604395604394,101.5934065934066,0.003663003663003663,10,144,1,0,0,0,0,0,0
2021-02-02,train,6899503.9799999995,6899503.9799999995,842,1348847.95,246,2021,2,2,1,5,1,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,Winter,0,7859465.6,16808163.46,7941847.63,10290834.14,909.0,2408.0,9854977.478571428,3512003.8251233813,6702827.13,16808163.46,8861267.070714286,2967198.3170780335,5796841.72,16808163.46,8505535.209999999,2661261.074440769,5796841.72,16808163.46,0.5203252032520326,0.0,0.0,0.1443089430894309,104.36585365853658,0.016260162601626018,10,145,1,0,0,0,0,0,0
2021-02-03,train,5104895.7,5104895.7,745,1125600.04,221,2021,2,3,2,5,1,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,Winter,0,6899503.9799999995,7897554.12,6028716.99,6684233.86,842.0,899.0,8439454.695714286,1842422.3309272975,6702827.13,12122649.11,8786813.952857142,3004881.063419005,5796841.72,16808163.46,8392490.871333335,2654830.8475943273,5796841.72,16808163.46,0.5565610859728507,0.0,0.0,0.16515837104072398,100.28506787330316,0.01809954751131222,10,129,1,0,0,0,0,0,0
2021-02-04,train,7748005.06,7748005.06,953,1822742.45,282,2021,2,4,3,5,1,0,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,Winter,0,5104895.7,8283270.5,7637034.42,8272067.09,745.0,978.0,8040503.492857143,2238995.8053819924,5104895.7,12122649.11,8720826.717857143,3079329.2903645714,5104895.7,16808163.46,8339846.266,2705057.041979335,5104895.7,16808163.46,0.48226950354609927,0.0,0.0,0.12943262411347517,103.47163120567376,0.01773049645390071,10,152,1,0,0,0,0,0,0
2021-02-05,train,7170465.42,7170465.42,889,1885849.19,269,2021,2,5,4,5,1,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,Winter,0,7748005.06,6702827.13,5796841.72,7238711.8,953.0,895.0,7964037.0014285715,2238463.1239013057,5104895.7,12122649.11,8728753.192142857,3076466.4051678143,5104895.7,16808163.46,8322377.531666667,2707201.135837666,5104895.7,16808163.46,0.4423791821561338,0.0,0.0,0.12304832713754647,102.80297397769517,0.0037174721189591076,10,144,1,0,0,0,0,0,0
2021-02-06,train,11065663.93,11065663.93,1588,2374568.86,302,2021,2,6,5,5,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,Winter,0,7170465.42,12122649.11,11819072.37,6272896.66,889.0,1531.0,8030842.471428571,2201218.134795091,5104895.7,12122649.11,8826869.170714285,2996636.2361623063,5104895.7,16808163.46,8320102.652333333,2708171.647830513,5104895.7,16808163.46,0.5132450331125827,0.0,0.0,0.13774834437086092,97.62582781456953,0.006622516556291391,10,158,1,0,0,0,0,1,0
2021-02-07,train,12715842.0,12715842.0,1280,2692497.92,244,2021,2,7,6,5,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,Winter,0,11065663.93,9310912.43,9204756.02,5991149.58,1588.0,1509.0,7879844.588571428,1887671.6193616989,5104895.7,11065663.93,8773054.282142857,2945089.1446818206,5104895.7,16808163.46,8479861.561333334,2724556.171597489,5104895.7,16808163.46,0.5491803278688525,0.0,0.0,0.14672131147540982,102.09836065573771,0.004098360655737705,10,140,1,0,0,0,0,1,0
2021-02-08,train,8677469.95,8677469.95,876,2118990.0100000002,249,2021,2,8,0,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,Winter,0,12715842.0,7859465.6,6644627.49,11305922.459999999,1280.0,909.0,8366263.098571428,2616056.82544487,5104895.7,12715842.0,9023846.137857143,3128464.9435676755,5104895.7,16808163.46,8704017.975333333,2788618.763561454,5104895.7,16808163.46,0.5220883534136547,0.0,0.0,0.1542168674698795,104.59839357429719,0.0,10,139,1,0,0,0,0,0,0
2021-02-09,train,7465902.53,7465902.53,916,1782262.99,283,2021,2,9,1,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,Winter,0,8677469.95,6899503.9799999995,16808163.46,8433889.63,876.0,842.0,8483120.862857142,2607902.5967253516,5104895.7,12715842.0,9169049.170714285,3055876.1546014817,5104895.7,16808163.46,8616402.891666668,2745001.409520814,5104895.7,16808163.46,0.4876325088339223,0.0,0.0,0.13392226148409894,103.04593639575971,0.01060070671378092,10,154,1,0,0,0,0,0,0
2021-02-10,train,6530319.5,6530319.5,970,1633578.46,301,2021,2,10,2,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,Winter,0,7465902.53,5104895.7,7897554.12,6703991.44,916.0,745.0,8564034.94142857,2558905.912439078,5104895.7,12715842.0,8501744.81857143,2143136.413278611,5104895.7,12715842.0,8584136.655,2752898.5107269585,5104895.7,16808163.46,0.49169435215946844,0.0,0.0,0.1415282392026578,100.92691029900332,0.0033222591362126247,10,157,1,0,0,0,0,0,0
2021-02-11,train,7718690.82,7718690.82,875,1704164.28,264,2021,2,11,3,6,1,0,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,Winter,0,6530319.5,7748005.06,8283270.5,6560604.4399999995,970.0,953.0,8767666.912857141,2279184.3994030263,6530319.5,12715842.0,8404085.202857142,2203098.965894894,5104895.7,12715842.0,8578347.590333333,2757167.8971496867,5104895.7,16808163.46,0.5189393939393939,0.0,0.0,0.12954545454545455,102.99621212121212,0.007575757575757576,10,150,1,0,0,0,0,0,0
2021-02-12,train,6878302.01,6878302.01,899,1444210.83,275,2021,2,12,4,6,1,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,Winter,0,7718690.82,7170465.42,6702827.13,7750320.99,875.0,889.0,8763479.164285714,2281396.0253698425,6530319.5,12715842.0,8363758.082857142,2210634.9086417845,5104895.7,12715842.0,8616950.469666667,2735969.1370788403,5104895.7,16808163.46,0.5018181818181818,0.0,0.0,0.13890909090909093,104.50181818181818,0.0036363636363636364,10,151,1,0,0,0,0,0,0
2021-02-13,train,12779623.4,12779623.4,1427,3450293.31,277,2021,2,13,5,6,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,Winter,0,6878302.01,11065663.93,12122649.11,5962872.76,899.0,1588.0,8721741.534285715,2317779.5715113264,6530319.5,12715842.0,8376292.002857143,2200969.643258573,5104895.7,12715842.0,8587883.170333333,2750089.5974554517,5104895.7,16808163.46,0.5451263537906137,0.0,0.0,0.15631768953068592,102.8158844765343,0.0,10,151,1,0,0,0,0,1,0
2021-02-14,train,14652382.15,14652382.15,1489,3557776.58,268,2021,2,14,6,6,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,Winter,0,12779623.4,12715842.0,9310912.43,6776930.61,1427.0,1280.0,8966592.887142858,2670373.9000584856,6530319.5,12779623.4,8423218.737857144,2292106.555072977,5104895.7,12779623.4,8815108.191666666,2806752.0879675606,5104895.7,16808163.46,0.5559701492537313,0.0,0.0,0.15597014925373134,100.42164179104478,0.0,10,145,1,0,0,0,0,1,0
2021-02-15,train,7694917.06,7694917.06,901,1579811.03,267,2021,2,15,0,7,1,0,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,Winter,0,14652382.15,8677469.95,7859465.6,11372599.48,1489.0,876.0,9243241.48,3175976.755806368,6530319.5,14652382.15,8804752.289285714,2832168.3564351005,5104895.7,14652382.15,9077623.243,2972923.9992891313,5104895.7,16808163.46,0.4681647940074906,0.0,0.0,0.12808988764044946,104.10861423220973,0.00749063670411985,10,143,1,0,0,0,0,0,0
2021-02-16,train,6229033.29,6229033.29,957,1684770.22,284,2021,2,16,1,7,1,0,0,0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,Winter,0,7694917.06,7465902.53,6899503.9799999995,14388028.82,901.0,916.0,9102876.781428572,3226460.0174625986,6530319.5,14652382.15,8792998.822142858,2836730.81183882,5104895.7,14652382.15,8955033.829,2950769.342043056,5104895.7,16808163.46,0.4471830985915493,0.0,0.0,0.1176056338028169,101.85211267605634,0.0035211267605633804,10,152,1,0,0,0,0,0,0
2021-02-17,train,6433084.44,6433084.44,852,1504590.41,265,2021,2,17,2,7,1,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,Winter,0,6229033.29,6530319.5,5104895.7,7103263.55,957.0,970.0,8926181.175714286,3362068.0099095646,6229033.29,14652382.15,8745108.058571428,2876536.7700702865,5104895.7,14652382.15,8683067.311333334,2805160.406949161,5104895.7,16808163.46,0.5018867924528302,0.0,0.0,0.14150943396226415,104.8188679245283,0.011320754716981131,10,154,1,0,0,0,0,0,0
2021-02-18,train,6711341.0200000005,6711341.0200000005,916,1535995.47,261,2021,2,18,3,7,1,0,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,Winter,0,6433084.44,7718690.82,7748005.06,7941847.63,852.0,875.0,8912290.452857142,3373796.9539463464,6229033.29,14652382.15,8839978.682857143,2767063.569461956,6229033.29,14652382.15,8660728.007666668,2820800.167811654,5104895.7,16808163.46,0.5363984674329502,0.0,0.0,0.15057471264367814,101.8735632183908,0.011494252873563218,10,150,1,0,0,0,0,0,0
2021-02-19,train,8472277.53,8472277.53,916,2098896.38,274,2021,2,19,4,7,1,0,0,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,Winter,0,6711341.0200000005,6878302.01,7170465.42,6028716.99,916.0,899.0,8768383.33857143,3453731.528805452,6229033.29,14652382.15,8765931.25142857,2812038.132524957,6229033.29,14652382.15,8619711.120666666,2840491.3555931095,5104895.7,16808163.46,0.4708029197080292,0.0,0.0,0.13211678832116788,101.44160583941606,0.0072992700729927005,10,147,1,0,0,0,0,0,0
2021-02-20,train,9975805.96,9975805.96,1431,2287059.49,272,2021,2,20,5,7,1,1,0,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,Winter,0,8472277.53,12779623.4,11065663.93,7637034.42,916.0,1427.0,8996094.127142858,3359609.9633990675,6229033.29,14652382.15,8858917.830714285,2776521.484463539,6229033.29,14652382.15,8701163.138666667,2798354.172922041,5104895.7,16808163.46,0.5183823529411765,0.0,0.0,0.13345588235294117,102.13970588235294,0.007352941176470588,10,146,1,0,0,0,0,1,0
